nohup: ignoring input
/home/asc23/lcy/gnn/TCS/layer.py:14: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  timestamps_tensors = [torch.tensor(timestamps).float() for timestamps in timestamps_list]
edge_index shape: torch.Size([2, 119670])
edge_attr shape: torch.Size([119670, 1])
successfully read graph
successfully split graph
begin to train
Epoch 14, Loss: 0.0531
Epoch 15, Loss: 0.0626
Epoch 16, Loss: 0.0637
Epoch 17, Loss: 0.0624
Epoch 18, Loss: 0.1942
Epoch 19, Loss: 0.1031
Epoch 20, Loss: 0.2549
Epoch 21, Loss: 0.0432
Epoch 22, Loss: 0.0410
Epoch 23, Loss: 0.0314
Epoch 24, Loss: 0.3881
Epoch 25, Loss: 0.0125
Epoch 26, Loss: 0.1070
Epoch 27, Loss: 0.0313
Epoch 28, Loss: 0.0247
Epoch 29, Loss: 0.1740
Epoch 30, Loss: 0.0154
Epoch 31, Loss: 0.0633
Epoch 32, Loss: 0.1731
Epoch 33, Loss: 0.3042
Epoch 34, Loss: 0.0816
Epoch 35, Loss: 0.3890
Epoch 36, Loss: 0.3840
Epoch 37, Loss: 0.3543
Epoch 38, Loss: 0.2645
Epoch 39, Loss: 0.0480
Epoch 40, Loss: 0.4021
Epoch 41, Loss: 0.0866
Epoch 42, Loss: 0.2576
Epoch 43, Loss: 0.1681
Epoch 44, Loss: 0.3608
Epoch 45, Loss: 0.0198
Epoch 46, Loss: 0.1828
Epoch 47, Loss: 0.4291
Epoch 48, Loss: 0.3533
Epoch 49, Loss: 0.0364
社区的时间割 TC(S): 0.8273
社区的时间密度 TD(S): 0.0072
社区节点数: 24, 邻居节点数: 24, 社区节点占比: 3.00%
Epoch 50, Loss: 0.0387
Epoch 1, Loss: 0.1183
Epoch 2, Loss: 0.3195
Epoch 3, Loss: 0.2635
Epoch 4, Loss: 0.1370
Epoch 5, Loss: 0.0593
Epoch 6, Loss: 0.0978
Epoch 7, Loss: 0.0305
Epoch 8, Loss: 0.1265
Epoch 9, Loss: 0.0592
Epoch 10, Loss: 0.0384
Epoch 11, Loss: 0.0878
Epoch 12, Loss: 0.1893
Epoch 13, Loss: 0.0183
Epoch 14, Loss: 0.0433
Epoch 15, Loss: 0.2355
Epoch 16, Loss: 0.0698
Epoch 17, Loss: 0.0672
Epoch 18, Loss: 0.2104
Epoch 19, Loss: 0.0695
Epoch 20, Loss: 0.0344
Epoch 21, Loss: 0.0953
Epoch 22, Loss: 0.0347
Epoch 23, Loss: 0.1481
Epoch 24, Loss: 0.0604
Epoch 25, Loss: 0.3603
